"","lon","lat","dates","economy"
"1",0.970703125,1.041015625,"7246 ± 30 BP | 7171 ± 40 BP","HG"
"2",0.580078125,1.412109375,"7333 ± 40 BP | 7082 ± 60 BP","HG"
"3",0.951171875,1.197265625,"7181 ± 50 BP","HG"
"4",0.794921875,1.041015625,"7066 ± 120 BP","HG"
"5",0.638671875,1.197265625,"6807 ± 30 BP | 6742 ± 40 BP | 6728 ± 100 BP","HG"
"6",0.814453125,1.451171875,"7045 ± 80 BP","F"
"7",0.990234375,1.333984375,"6784 ± 20 BP | 6635 ± 20 BP","HG"
"8",0.541015625,1.373046875,"6839 ± 120 BP","HG"
"9",0.716796875,1.451171875,"6826 ± 40 BP","HG"
"10",0.755859375,1.197265625,"6845 ± 50 BP","HG"
"11",0.833984375,1.353515625,"6672 ± 20 BP","HG"
"12",0.970703125,1.470703125,"6721 ± 50 BP","HG"
"13",0.814453125,1.099609375,"6632 ± 20 BP | 6626 ± 30 BP","F"
"14",0.560546875,1.431640625,"6542 ± 20 BP | 6528 ± 40 BP","F"
"15",0.697265625,1.216796875,"6552 ± 60 BP","F"
"16",0.970703125,1.275390625,"6529 ± 60 BP","F"
