"","lon","lat","dates","economy"
"1",0.699032674136912,-0.920665672066783,"7164 ± 80 BP | 7011 ± 50 BP","HG"
"2",0.814453125,-0.521484375,"7434 ± 20 BP | 7092 ± 20 BP | 6867 ± 50 BP","HG"
"3",0.912109375,-0.775390625,"7164 ± 80 BP | 6891 ± 20 BP","HG"
"4",0.541015625,-0.658203125,"7165 ± 30 BP","HG"
"5",0.970703125,-0.912109375,"6827 ± 30 BP | 6717 ± 20 BP","HG"
"6",0.541015625,-0.912109375,"7127 ± 50 BP","HG"
"7",0.697265625,-0.716796875,"7042 ± 40 BP","HG"
"8",0.951171875,-0.619140625,"6919 ± 20 BP | 6685 ± 20 BP","HG"
"9",0.677734375,-0.580078125,"6557 ± 60 BP | 6554 ± 30 BP | 6545 ± 30 BP | 6525 ± 40 BP","F"
"10",0.833984375,-0.794921875,"6657 ± 20 BP | 6603 ± 40 BP | 6586 ± 20 BP","F"
"11",0.931640625,-0.990234375,"6578 ± 40 BP | 6575 ± 20 BP","F"
