"","lon","lat","dates","economy"
"1",-0.064453125,1.685546875,"7253 ± 120 BP | 7161 ± 40 BP","HG"
"2",-0.259765625,1.626953125,"7300 ± 50 BP | 7016 ± 100 BP","HG"
"3",-0.318359375,1.939453125,"7210 ± 30 BP | 6812 ± 20 BP","HG"
"4",-0.220703125,1.861328125,"7037 ± 60 BP","HG"
"5",-0.416015625,1.802734375,"7000 ± 40 BP","HG"
"6",-0.005859375,1.763671875,"6788 ± 20 BP","HG"
"7",-0.240234375,1.783203125,"6838 ± 20 BP","HG"
"8",-0.494140625,1.841796875,"6712 ± 40 BP","F"
"9",-0.474609375,1.763671875,"6639 ± 80 BP | 6572 ± 80 BP | 6546 ± 40 BP","F"
"10",-0.240234375,1.802734375,"6569 ± 50 BP | 6536 ± 20 BP","F"
"11",-0.162109375,1.509765625,"6568 ± 50 BP | 6566 ± 120 BP","F"
