"","lon","lat","dates","economy"
"1",0.695687959679798,0.894285856013113,"7362 ± 100 BP | 7320 ± 100 BP | 7021 ± 80 BP","HG"
"2",0.912109375,0.533203125,"7262 ± 60 BP","HG"
"3",0.521484375,0.708984375,"7133 ± 20 BP","HG"
"4",0.755859375,0.708984375,"7020 ± 40 BP | 6966 ± 20 BP","F"
"5",0.560546875,0.962890625,"6916 ± 80 BP","HG"
"6",0.931640625,0.884765625,"6810 ± 20 BP","HG"
"7",0.521484375,0.708984375,"6832 ± 20 BP","HG"
"8",0.814453125,0.591796875,"6597 ± 20 BP | 6540 ± 40 BP | 6507 ± 120 BP","F"
"9",0.697265625,0.865234375,"6613 ± 40 BP | 6541 ± 80 BP | 6518 ± 20 BP","F"
"10",0.951171875,0.865234375,"6646 ± 30 BP | 6613 ± 20 BP","F"
