"","lon","lat","dates","economy"
"1",-2.88907227921667,2.71439781650441,"7441 ± 40 BP","HG"
"2",-2.544921875,2.544921875,"7212 ± 20 BP","HG"
"3",-2.857421875,2.935546875,"7209 ± 100 BP | 6911 ± 30 BP","HG"
"4",-2.662109375,2.935546875,"6924 ± 50 BP","HG"
"5",-2.955078125,2.544921875,"6857 ± 30 BP | 6842 ± 20 BP | 6815 ± 20 BP | 6760 ± 50 BP | 6753 ± 50 BP | 6723 ± 40 BP | 6625 ± 30 BP | 6579 ± 100 BP | 6577 ± 50 BP","F"
"6",-2.583984375,2.994140625,"6841 ± 60 BP","HG"
"7",-2.603515625,2.720703125,"6774 ± 80 BP","F"
"8",-2.779296875,2.857421875,"6711 ± 20 BP | 6698 ± 30 BP | 6589 ± 40 BP | 6565 ± 50 BP","F"
"9",-2.544921875,2.701171875,"6705 ± 30 BP","F"
"10",-2.525390625,2.974609375,"6626 ± 60 BP | 6532 ± 80 BP","F"
"11",-2.564453125,2.681640625,"6559 ± 40 BP | 6554 ± 30 BP","F"
