"","lon","lat","dates","economy"
"1",-1.060546875,2.525390625,"7202 ± 40 BP | 7091 ± 60 BP | 7017 ± 40 BP","HG"
"2",-1.255859375,2.505859375,"7311 ± 50 BP","HG"
"3",-1.138671875,2.974609375,"7326 ± 20 BP","HG"
"4",-1.099609375,2.798828125,"7131 ± 60 BP | 7032 ± 50 BP | 7025 ± 30 BP","HG"
"5",-1.275390625,2.642578125,"7034 ± 100 BP","HG"
"6",-1.294921875,2.779296875,"6997 ± 100 BP | 6971 ± 30 BP","HG"
"7",-1.275390625,2.955078125,"6939 ± 20 BP | 6892 ± 30 BP | 6559 ± 20 BP","HG"
"8",-1.099609375,2.994140625,"6601 ± 30 BP","HG"
"9",-1.353515625,2.544921875,"6780 ± 50 BP","F"
"10",-1.431640625,2.876953125,"6702 ± 100 BP","HG"
"11",-1.294921875,2.740234375,"6606 ± 80 BP","HG"
"12",-1.236328125,2.583984375,"6502 ± 60 BP","F"
"13",-1.412109375,2.740234375,"6523 ± 50 BP","F"
