"","lon","lat","dates","economy"
"1",0.287109375,1.451171875,"7261 ± 20 BP | 7155 ± 60 BP","HG"
"2",0.072265625,1.216796875,"7305 ± 60 BP | 7233 ± 60 BP","HG"
"3",0.404296875,1.236328125,"7089 ± 40 BP","HG"
"4",0.248046875,1.119140625,"7136 ± 20 BP","HG"
"5",0.150390625,1.431640625,"6906 ± 80 BP | 6872 ± 50 BP | 6868 ± 50 BP | 6852 ± 60 BP | 6773 ± 60 BP | 6761 ± 30 BP | 6685 ± 20 BP | 6589 ± 20 BP | 6569 ± 60 BP","F"
"6",0.365234375,1.001953125,"6933 ± 30 BP","HG"
"7",0.443359375,1.099609375,"6788 ± 100 BP","HG"
"8",0.072265625,1.138671875,"6760 ± 20 BP","F"
"9",0.365234375,1.275390625,"6708 ± 20 BP | 6670 ± 50 BP","F"
"10",0.248046875,1.001953125,"6697 ± 40 BP | 6587 ± 50 BP | 6549 ± 20 BP | 6510 ± 50 BP","F"
"11",0.443359375,1.021484375,"6633 ± 120 BP | 6563 ± 40 BP | 6543 ± 20 BP","F"
"12",0.033203125,1.236328125,"6636 ± 20 BP | 6538 ± 60 BP | 6531 ± 40 BP | 6521 ± 20 BP","F"
"13",0.365234375,1.275390625,"6619 ± 80 BP | 6507 ± 20 BP","F"
