"","sitename","lon","lat","dates","economy"
"1","Zava",-1.705078125,2.017578125,"7254 ± 100 BP | 7156 ± 120 BP | 7031 ± 30 BP","HG"
"2","Catadrid",-1.919921875,2.310546875,"7208 ± 80 BP","HG"
"3","Tegon",-1.607421875,2.154296875,"7085 ± 20 BP","HG"
"4","Alicia",-1.548828125,2.408203125,"6969 ± 80 BP","HG"
"5","Mulid",-1.744140625,2.291015625,"7001 ± 100 BP","F"
"6","Zararbella",-1.568359375,2.310546875,"6775 ± 100 BP | 6752 ± 50 BP | 6717 ± 60 BP","F"
"7","Malid",-1.822265625,2.251953125,"6812 ± 80 BP","F"
"8","Cásca",-1.802734375,2.447265625,"6718 ± 30 BP | 6708 ± 100 BP | 6555 ± 30 BP | 6544 ± 100 BP","F"
"9","Granalejos",-1.685546875,2.173828125,"6681 ± 30 BP | 6627 ± 20 BP | 6552 ± 80 BP","F"
"10","Segorez",-1.509765625,2.466796875,"6576 ± 80 BP","F"
