"","lon","lat","dates","economy"
"1",-0.806640625,3.619140625,"7111 ± 120 BP","HG"
"2",-0.982421875,3.541015625,"7071 ± 100 BP | 6627 ± 50 BP","HG"
"3",-0.943359375,3.873046875,"6807 ± 50 BP | 6772 ± 50 BP","HG"
"4",-0.552734375,3.677734375,"6879 ± 20 BP | 6584 ± 30 BP","HG"
"5",-0.787109375,3.697265625,"6556 ± 80 BP","HG"
"6",-0.572265625,3.833984375,"6704 ± 50 BP | 6644 ± 40 BP | 6596 ± 20 BP","HG"
"7",-0.689453125,3.560546875,"6663 ± 120 BP | 6580 ± 20 BP","HG"
"8",-0.689453125,3.990234375,"6558 ± 40 BP","HG"
"9",-0.767578125,3.853515625,"6537 ± 40 BP","HG"
"10",-0.845703125,3.619140625,"6787 ± 60 BP | 6636 ± 40 BP","HG"
"11",-0.826171875,3.990234375,"6531 ± 20 BP | 6505 ± 30 BP","F"
