"","lon","lat","dates","economy"
"1",0.827179161308047,-0.269427335153763,"7462 ± 120 BP | 7166 ± 20 BP | 7024 ± 80 BP | 6968 ± 100 BP","HG"
"2",0.763238876515158,-0.29903947894027,"7288 ± 80 BP | 6987 ± 120 BP","HG"
"3",0.919511472652602,-0.164023613791513,"7179 ± 120 BP | 6898 ± 80 BP | 6874 ± 120 BP","HG"
"4",0.931640625,-0.423828125,"7459 ± 50 BP | 7170 ± 50 BP | 6689 ± 60 BP","HG"
"5",0.599609375,-0.482421875,"7170 ± 80 BP | 6992 ± 20 BP","HG"
"6",0.990234375,-0.052734375,"6817 ± 40 BP","HG"
"7",0.814453125,-0.013671875,"6783 ± 30 BP","HG"
"8",0.677734375,-0.169921875,"6906 ± 30 BP","HG"
"9",0.599609375,-0.169921875,"6709 ± 60 BP","F"
"10",0.521484375,-0.404296875,"6704 ± 20 BP | 6559 ± 40 BP | 6534 ± 100 BP | 6522 ± 40 BP","F"
"11",0.716796875,-0.189453125,"6676 ± 100 BP | 6565 ± 100 BP | 6557 ± 30 BP","F"
"12",0.951171875,-0.404296875,"6607 ± 60 BP","F"
"13",0.951171875,-0.091796875,"6561 ± 40 BP | 6521 ± 40 BP","F"
"14",0.931640625,-0.423828125,"6510 ± 50 BP","F"
