"","lon","lat","dates","economy"
"1",-3.111328125,3.853515625,"7057 ± 50 BP | 6954 ± 40 BP","HG"
"2",-3.306640625,3.853515625,"6967 ± 20 BP | 6864 ± 20 BP","HG"
"3",-3.384765625,3.755859375,"6632 ± 40 BP | 6527 ± 50 BP","HG"
"4",-3.072265625,3.658203125,"6992 ± 50 BP | 6977 ± 20 BP | 6928 ± 20 BP","HG"
"5",-3.248046875,3.619140625,"6906 ± 30 BP","HG"
"6",-3.091796875,3.892578125,"6674 ± 40 BP","HG"
"7",-3.443359375,3.970703125,"6788 ± 40 BP | 6569 ± 50 BP","HG"
"8",-3.267578125,3.677734375,"6590 ± 80 BP","HG"
"9",-3.228515625,3.990234375,"6513 ± 30 BP","HG"
"10",-3.169921875,3.794921875,"6538 ± 30 BP","F"
