"","lon","lat","dates","economy"
"1",-0.365226336440504,3.83026234768585,"7491 ± 40 BP | 7467 ± 20 BP | 7416 ± 20 BP | 7214 ± 40 BP | 6973 ± 120 BP | 6794 ± 40 BP | 6759 ± 30 BP | 6698 ± 20 BP","HG"
"2",-0.416015625,3.541015625,"7055 ± 80 BP | 6789 ± 120 BP | 6751 ± 60 BP","HG"
"3",-0.181640625,3.541015625,"7126 ± 80 BP | 6992 ± 50 BP | 6869 ± 80 BP | 6809 ± 30 BP","HG"
"4",-0.103515625,3.677734375,"6958 ± 20 BP | 6891 ± 40 BP | 6854 ± 60 BP","HG"
"5",-0.044921875,3.873046875,"6897 ± 20 BP | 6871 ± 40 BP","HG"
"6",-0.494140625,3.990234375,"6799 ± 30 BP | 6570 ± 80 BP","HG"
"7",-0.240234375,3.970703125,"6595 ± 30 BP","HG"
"8",-0.298828125,3.619140625,"6612 ± 30 BP | 6567 ± 40 BP | 6550 ± 20 BP","F"
"9",-0.083984375,3.560546875,"6527 ± 100 BP | 6526 ± 120 BP | 6520 ± 50 BP","F"
"10",-0.064453125,3.970703125,"6544 ± 30 BP","F"
