"","lon","lat","dates","economy"
"1",-1.939453125,3.912109375,"7084 ± 120 BP | 7053 ± 80 BP | 6979 ± 40 BP | 6751 ± 120 BP","HG"
"2",-1.548828125,3.794921875,"7195 ± 20 BP | 6925 ± 20 BP | 6815 ± 100 BP | 6638 ± 50 BP | 6501 ± 60 BP","HG"
"3",-1.666015625,3.580078125,"6815 ± 30 BP","HG"
"4",-1.861328125,3.658203125,"6980 ± 100 BP | 6808 ± 60 BP","HG"
"5",-1.587890625,3.501953125,"6664 ± 40 BP | 6513 ± 80 BP","HG"
"6",-1.568359375,3.990234375,"6819 ± 50 BP | 6728 ± 60 BP","HG"
"7",-1.763671875,3.833984375,"6551 ± 30 BP","HG"
"8",-1.783203125,3.970703125,"6553 ± 30 BP","HG"
"9",-1.978515625,3.521484375,"6569 ± 30 BP","HG"
"10",-1.705078125,3.697265625,"6590 ± 40 BP","HG"
