"","lon","lat","dates","economy"
"1",0.000231621485112576,0.990500962558147,"7164 ± 50 BP | 7138 ± 50 BP | 6940 ± 120 BP | 6839 ± 20 BP","HG"
"2",0.208984375,0.962890625,"7479 ± 100 BP | 7021 ± 20 BP","HG"
"3",0.228515625,0.572265625,"7203 ± 40 BP | 7084 ± 30 BP","HG"
"4",0.345703125,0.689453125,"7157 ± 40 BP | 6956 ± 20 BP","HG"
"5",0.111328125,0.748046875,"7198 ± 50 BP | 6977 ± 40 BP | 6896 ± 20 BP","HG"
"6",0.423828125,0.845703125,"7125 ± 20 BP","HG"
"7",0.267578125,0.533203125,"6795 ± 50 BP | 6791 ± 60 BP | 6769 ± 60 BP | 6764 ± 40 BP | 6743 ± 60 BP","F"
"8",0.013671875,0.611328125,"6713 ± 40 BP | 6679 ± 20 BP | 6607 ± 50 BP | 6524 ± 120 BP","F"
"9",0.443359375,0.708984375,"6645 ± 40 BP | 6594 ± 30 BP | 6550 ± 80 BP | 6541 ± 50 BP | 6535 ± 60 BP","F"
"10",0.091796875,0.826171875,"6646 ± 50 BP | 6560 ± 100 BP | 6560 ± 30 BP | 6533 ± 50 BP","F"
